City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
3137,Kapaa,US,69.8,thunderstorm with rain,22.08,-159.32,Courtyard by Marriott Kaua'i at Coconut Beach
3139,Kaitangata,NZ,50.0,moderate rain,-46.28,169.85,
3141,Mataura,NZ,48.99,moderate rain,-46.19,168.86,Ellie's Villa
3148,East London,ZA,65.75,light rain,-33.02,27.91,Tu Casa
3152,Port Alfred,ZA,66.0,light rain,-33.59,26.89,The Halyards Hotel
3156,Bambanglipuro,ID,72.84,light rain,-7.95,110.28,Puri Brata
3162,Manokwari,ID,74.46,light rain,-0.87,134.08,Swiss Belhotel Manokwari
3175,Hobart,AU,51.01,light intensity shower rain,-42.88,147.33,St Ives Apartments
3191,Tangshan,CN,52.11,moderate rain,39.63,118.17,Civil Affairs Hotel
3192,Burnie,AU,51.01,light rain,-41.05,145.91,Beachfront Voyager Motor Inn
3196,Chimore,BO,83.84,moderate rain,-16.98,-65.13,Bichito
3204,Tevaitoa,PF,80.42,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
3212,San Quintin,PH,72.68,light rain,17.54,120.52,San Quintin River Resort
3222,Naze,NG,76.8,moderate rain,5.43,7.07,Female Hostel C
3245,Faanui,PF,81.3,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
3250,Kavieng,PG,79.77,light rain,-2.57,150.8,Nusa Island Retreat
3254,Ponta Do Sol,BR,72.01,moderate rain,-20.63,-46.0,Hotel Escarpas do Lago
3258,Mount Gambier,AU,52.2,light rain,-37.83,140.78,Best Western Southgate Motel
3293,Ko Samui,TH,82.04,moderate rain,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
3298,Kandrian,PG,72.75,moderate rain,-6.21,149.55,
3305,Santiago,PH,70.12,moderate rain,16.69,121.54,GraceHill EconoSuites
3319,Kingori,TZ,70.72,light rain,-3.38,37.02,Kia Lodge
